Invoice ID,Branch,CustomerID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Longitude,Latitude,day_of_week,month,week,hour
529-56-3974,B,C1264,Mandalay,Normal,Male,Health and beauty,25.51,6,7.288571428571428,153.06,2019-08-26,17:03:00,Cash,102.04,4.761904762,51.02,7.455,96.0891,21.9588,Monday,August,35,17
365-64-0515,A,C1710,Yangon,Normal,Female,Electronic accessories,46.95,5,11.178571428571429,234.75,2019-08-25,10:25:00,Ewallet,223.57142857142858,4.761904762,11.178571428571429,7.455,96.1735,16.8409,Sunday,August,34,10
252-56-2699,A,C1726,Yangon,Normal,Male,Food and beverages,43.19,10,20.566666666666666,431.9,2019-10-02,16:48:00,Ewallet,411.3333333333333,4.761904762,20.566666666666666,8.2,96.1735,16.8409,Wednesday,October,40,16
829-34-3910,A,C1702,Yangon,Normal,Female,Health and beauty,71.38,10,33.99047619047619,713.8,2019-11-23,19:21:00,Cash,679.8095238095239,4.761904762,33.99047619047619,5.7,96.1735,16.8409,Saturday,November,47,19
299-46-1805,B,C1280,Mandalay,Member,Female,Sports and travel,93.72,11,49.09142857142857,1030.92,2019-07-15,16:19:00,Cash,562.32,4.761904762,468.6,5.4,96.0891,21.9588,Monday,July,29,16
656-95-9349,A,C1799,Yangon,Member,Female,Health and beauty,68.93,10,32.82380952380952,689.3,2019-12-02,11:03:00,Credit card,482.51,4.761904762,206.79,4.6,96.1735,16.8409,Monday,December,49,11
765-26-6951,A,C1669,Yangon,Normal,Male,Sports and travel,72.61,6,20.74571428571429,435.66,2019-03-09,10:39:00,Credit card,414.9142857142857,4.761904762,20.74571428571429,6.9,96.1735,16.8409,Saturday,March,10,10
329-62-1586,A,C1645,Yangon,Normal,Male,Food and beverages,54.67,3,7.81,164.01,2019-07-09,18:00:00,Credit card,156.2,4.761904762,7.81,8.6,96.1735,16.8409,Tuesday,July,28,18
319-50-3348,B,C1207,Mandalay,Normal,Female,Home and lifestyle,40.3,3,5.757142857142857,120.9,2019-05-08,15:30:00,Ewallet,80.6,4.761904762,40.3,5.28,96.0891,21.9588,Wednesday,May,19,15
300-71-4605,C,C1462,Naypyitaw,Member,Male,Electronic accessories,86.04,8,32.77714285714286,688.32,2019-10-18,11:24:00,Ewallet,430.2,4.761904762,258.12,5.04,96.0785,19.7633,Friday,October,42,11
371-85-5789,B,C1217,Mandalay,Normal,Male,Health and beauty,87.98,4,16.75809523809524,351.92,2019-12-25,10:40:00,Ewallet,263.94,4.761904762,87.98,6.12,96.0891,21.9588,Wednesday,December,52,10
273-16-6619,B,C1243,Mandalay,Normal,Male,Health and beauty,33.2,3,4.742857142857143,99.6,2019-05-01,12:20:00,Credit card,66.4,4.761904762,33.2,5.28,96.0891,21.9588,Wednesday,May,18,12
636-48-8204,A,C1773,Yangon,Normal,Male,Health and beauty,34.56,5,8.228571428571428,172.8,2019-02-16,11:15:00,Ewallet,164.57142857142858,4.761904762,8.228571428571428,9.9,96.1735,16.8409,Saturday,February,7,11
549-59-1358,A,C1863,Yangon,Member,Male,Health and beauty,88.63,4,17.726,354.52,2019-03-11,17:36:00,Ewallet,265.89,4.761904762,88.63,6.0,96.1735,16.8409,Monday,March,11,17
227-03-5010,A,C1657,Yangon,Member,Female,Health and beauty,52.59,11,28.9245,578.49,2019-11-08,19:20:00,Credit card,420.72,4.761904762,157.77,8.5,96.1735,16.8409,Friday,November,45,19
649-29-6775,B,C1240,Mandalay,Normal,Male,Health and beauty,33.52,1,1.676,33.52,2019-01-19,15:31:00,Cash,31.923809523809528,4.761904762,1.5961904761904764,8.04,96.0891,21.9588,Saturday,January,3,15
189-17-4241,A,C1629,Yangon,Normal,Female,Health and beauty,87.67,2,8.767,175.34,2019-09-04,12:17:00,Credit card,166.9904761904762,4.761904762,8.34952380952381,7.7,96.1735,16.8409,Wednesday,September,36,12
145-94-9061,B,C1250,Mandalay,Normal,Female,Health and beauty,88.36,7,30.926,618.52,2019-03-06,19:48:00,Cash,441.8,4.761904762,176.72,10.0,96.0891,21.9588,Wednesday,March,10,19
848-62-7243,A,C1764,Yangon,Normal,Female,Health and beauty,24.89,9,11.2005,224.01,2019-06-04,15:36:00,Cash,213.34285714285716,4.761904762,10.667142857142856,7.4,96.1735,16.8409,Tuesday,June,23,15
871-79-8483,B,C1270,Mandalay,Normal,Female,Fashion accessories,94.13,7,32.9455,658.91,2019-08-17,19:39:00,Credit card,470.65,4.761904762,188.26,5.76,96.0891,21.9588,Saturday,August,33,19
149-71-6266,B,C1246,Mandalay,Member,Female,Sports and travel,78.07,18,70.263,1405.26,2019-01-18,12:43:00,Cash,702.63,4.761904762,702.63,5.4,96.0891,21.9588,Friday,January,3,12
640-49-2076,B,C1212,Mandalay,Normal,Female,Sports and travel,83.78,11,46.079,921.58,2019-06-15,14:49:00,Cash,670.24,4.761904762,251.34,6.12,96.0891,21.9588,Saturday,June,24,14
595-11-5460,A,C1773,Yangon,Normal,Female,Health and beauty,96.58,2,9.658,193.16,2019-09-28,10:12:00,Credit card,183.96190476190475,4.761904762,9.198095238095238,5.1,96.1735,16.8409,Saturday,September,39,10
183-56-6882,C,C1396,Naypyitaw,Normal,Female,Food and beverages,99.42,5,23.67142857142857,497.1,2019-05-09,10:42:00,Ewallet,397.68,4.761904762,99.42,7.875,96.0785,19.7633,Thursday,May,19,10
232-16-2483,C,C1448,Naypyitaw,Normal,Female,Sports and travel,68.12,1,3.243809523809524,68.12,2019-07-12,12:28:00,Ewallet,64.87619047619047,4.761904762,3.243809523809524,7.14,96.0785,19.7633,Friday,July,28,12
129-29-8530,A,C1882,Yangon,Normal,Female,Sports and travel,62.62,5,14.90952380952381,313.1,2019-05-08,19:15:00,Ewallet,298.1904761904762,4.761904762,14.90952380952381,7.0,96.1735,16.8409,Wednesday,May,19,19
272-65-1806,A,C1770,Yangon,Normal,Female,Electronic accessories,60.88,9,26.09142857142857,547.92,2019-09-17,17:17:00,Ewallet,521.8285714285713,4.761904762,26.09142857142857,4.7,96.1735,16.8409,Tuesday,September,38,17
333-73-7901,C,C1329,Naypyitaw,Normal,Female,Health and beauty,54.92,10,27.46,549.2,2019-10-27,13:24:00,Ewallet,439.36,4.761904762,109.84,7.98,96.0785,19.7633,Sunday,October,43,13
777-82-7220,B,C1218,Mandalay,Normal,Female,Home and lifestyle,30.12,11,16.566,331.32,2019-10-14,13:01:00,Cash,240.96,4.761904762,90.36,9.24,96.0891,21.9588,Monday,October,42,13
280-35-5823,B,C1201,Mandalay,Normal,Female,Home and lifestyle,86.72,1,4.336,86.72,2019-02-08,18:45:00,Ewallet,82.5904761904762,4.761904762,4.12952380952381,9.48,96.0891,21.9588,Friday,February,6,18
554-53-8700,C,C1357,Naypyitaw,Normal,Male,Home and lifestyle,56.11,2,5.611,112.22,2019-08-31,10:11:00,Cash,106.87619047619047,4.761904762,5.343809523809524,6.615,96.0785,19.7633,Saturday,August,35,10
354-25-5821,B,C1274,Mandalay,Normal,Female,Sports and travel,69.12,8,27.648,552.96,2019-04-28,13:03:00,Cash,414.72,4.761904762,138.24,6.72,96.0891,21.9588,Sunday,April,17,13
228-96-1411,C,C1312,Naypyitaw,Normal,Female,Food and beverages,98.7,10,49.35,987.0,2019-02-22,20:39:00,Cash,789.6,4.761904762,197.4,7.98,96.0785,19.7633,Friday,February,8,20
617-15-4209,C,C1470,Naypyitaw,Normal,Male,Health and beauty,15.37,2,1.537,30.74,2019-10-07,19:47:00,Cash,29.276190476190475,4.761904762,1.4638095238095237,7.56,96.0785,19.7633,Monday,October,41,19
132-32-9879,B,C1221,Mandalay,Normal,Female,Health and beauty,93.96,6,28.188,563.76,2019-01-11,18:00:00,Cash,375.84,4.761904762,187.92,10.0,96.0891,21.9588,Friday,January,2,18
370-41-7321,B,C1201,Mandalay,Normal,Male,Health and beauty,56.69,13,36.8485,736.97,2019-02-25,17:24:00,Credit card,510.21,4.761904762,226.76,10.0,96.0891,21.9588,Monday,February,9,17
727-46-3608,B,C1235,Mandalay,Normal,Female,Health and beauty,20.01,13,13.0065,260.13,2019-02-07,15:47:00,Ewallet,180.09,4.761904762,80.04,4.92,96.0891,21.9588,Thursday,February,6,15
669-54-1719,B,C1202,Mandalay,Normal,Male,Health and beauty,18.93,8,7.572,151.44,2019-10-16,12:45:00,Credit card,113.58,4.761904762,37.86,9.72,96.0891,21.9588,Wednesday,October,42,12
574-22-5561,C,C1352,Naypyitaw,Normal,Female,Health and beauty,82.63,12,49.578,991.56,2019-06-03,17:08:00,Ewallet,826.3,4.761904762,165.26,8.295,96.0785,19.7633,Monday,June,23,17
326-78-5178,C,C1453,Naypyitaw,Normal,Male,Food and beverages,91.4,8,36.56,731.2,2019-04-04,10:19:00,Cash,639.8,4.761904762,91.4,9.975,96.0785,19.7633,Thursday,April,14,10
162-48-8011,A,C1629,Yangon,Normal,Female,Food and beverages,44.59,5,11.1475,222.95,2019-09-28,15:10:00,Cash,212.33333333333334,4.761904762,10.616666666666667,8.5,96.1735,16.8409,Saturday,September,39,15
616-24-2851,B,C1290,Mandalay,Normal,Female,Fashion accessories,17.87,6,5.361,107.22,2019-12-30,14:42:00,Ewallet,71.48,4.761904762,35.74,7.8,96.0891,21.9588,Monday,December,1,14
778-71-5554,C,C1401,Naypyitaw,Normal,Male,Fashion accessories,15.43,1,0.7715,15.43,2019-09-15,15:46:00,Credit card,14.695238095238095,4.761904762,0.7347619047619048,6.405,96.0785,19.7633,Sunday,September,37,15
242-55-6721,B,C1236,Mandalay,Normal,Male,Home and lifestyle,16.16,3,2.424,48.48,2019-04-30,11:49:00,Ewallet,32.32,4.761904762,16.16,7.8,96.0891,21.9588,Tuesday,April,18,11
399-46-5918,C,C1491,Naypyitaw,Normal,Female,Electronic accessories,85.98,10,42.99,859.8,2019-02-19,19:01:00,Cash,687.84,4.761904762,171.96,8.61,96.0785,19.7633,Tuesday,February,8,19
106-35-6779,A,C1882,Yangon,Normal,Male,Home and lifestyle,44.34,2,4.434,88.68,2019-01-14,11:26:00,Ewallet,84.45714285714286,4.761904762,4.222857142857143,7.455,96.1735,16.8409,Monday,January,3,11
635-40-6220,A,C1720,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,716.8,2019-06-29,11:28:00,Ewallet,682.6666666666666,4.761904762,34.13333333333333,7.455,96.1735,16.8409,Saturday,June,26,11
817-48-8732,A,C1760,Yangon,Member,Female,Home and lifestyle,72.35,14,50.645,1012.9,2019-01-28,15:55:00,Ewallet,723.5,4.761904762,289.4,7.455,96.1735,16.8409,Monday,January,5,15
120-06-4233,C,C1365,Naypyitaw,Normal,Male,Electronic accessories,30.61,7,10.7135,214.27,2019-05-07,20:36:00,Ewallet,183.66,4.761904762,30.61,7.455,96.0785,19.7633,Tuesday,May,19,20
285-68-5083,C,C1409,Naypyitaw,Normal,Female,Sports and travel,24.74,4,4.948,98.96,2019-11-19,17:47:00,Ewallet,74.22,4.761904762,24.74,7.455,96.0785,19.7633,Tuesday,November,47,17
803-83-5989,C,C1301,Naypyitaw,Normal,Male,Home and lifestyle,55.73,7,18.576666666666668,390.11,2019-09-25,10:55:00,Ewallet,334.38,4.761904762,55.73,7.455,96.0785,19.7633,Wednesday,September,39,10
347-34-2234,B,C1201,Mandalay,Normal,Female,Sports and travel,55.07,13,35.7955,715.91,2019-12-09,13:40:00,Ewallet,495.63,4.761904762,220.28,7.455,96.0891,21.9588,Monday,December,50,13
199-75-8169,A,C1810,Yangon,Normal,Male,Sports and travel,15.81,10,7.905,158.1,2019-03-22,12:27:00,Ewallet,150.57142857142858,4.761904762,7.5285714285714285,7.455,96.1735,16.8409,Friday,March,12,12
853-23-2453,B,C1217,Mandalay,Normal,Male,Health and beauty,75.74,6,22.722,454.44,2019-10-04,14:35:00,Ewallet,302.96,4.761904762,151.48,7.455,96.0891,21.9588,Friday,October,40,14
877-22-3308,A,C1846,Yangon,Normal,Male,Health and beauty,15.87,10,7.935,158.7,2019-06-19,16:40:00,Ewallet,151.14285714285714,4.761904762,7.557142857142857,7.455,96.1735,16.8409,Wednesday,June,25,16
838-78-4295,C,C1472,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,66.94,2019-09-19,15:43:00,Ewallet,63.75238095238095,4.761904762,3.1876190476190476,7.455,96.0785,19.7633,Thursday,September,38,15
109-28-2512,B,C1277,Mandalay,Normal,Female,Fashion accessories,97.61,8,39.044,780.88,2019-02-09,15:01:00,Ewallet,585.66,4.761904762,195.22,7.455,96.0891,21.9588,Saturday,February,6,15
232-11-3025,A,C1747,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,787.7,2019-02-27,10:04:00,Cash,750.1904761904761,4.761904762,37.50952380952381,7.455,96.1735,16.8409,Wednesday,February,9,10
382-03-4532,A,C1760,Yangon,Normal,Female,Health and beauty,18.33,1,0.9165,18.33,2019-03-21,18:50:00,Cash,17.457142857142856,4.761904762,0.8728571428571428,7.455,96.1735,16.8409,Thursday,March,12,18
393-65-2792,C,C1329,Naypyitaw,Normal,Male,Food and beverages,89.48,12,53.688,1073.76,2019-06-02,12:46:00,Credit card,894.8,4.761904762,178.96,10.0,96.0785,19.7633,Sunday,June,22,12
796-12-2025,C,C1368,Naypyitaw,Normal,Male,Fashion accessories,62.12,12,37.272,745.44,2019-07-22,16:19:00,Cash,621.2,4.761904762,124.24,6.195,96.0785,19.7633,Monday,July,30,16
510-95-6347,B,C1262,Mandalay,Normal,Female,Food and beverages,48.52,4,9.704,194.08,2019-12-17,18:17:00,Ewallet,145.56,4.761904762,48.52,4.8,96.0891,21.9588,Tuesday,December,51,18
841-35-6630,C,C1302,Naypyitaw,Normal,Female,Electronic accessories,75.91,7,26.5685,531.37,2019-11-08,18:21:00,Cash,455.46,4.761904762,75.91,9.135,96.0785,19.7633,Friday,November,45,18
287-21-9091,A,C1894,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,672.03,2019-03-31,10:55:00,Ewallet,640.0285714285715,4.761904762,32.00142857142857,9.4,96.1735,16.8409,Sunday,March,13,10
732-94-0499,C,C1477,Naypyitaw,Normal,Female,Electronic accessories,41.65,12,24.99,499.8,2019-12-12,17:04:00,Credit card,416.5,4.761904762,83.3,5.67,96.0785,19.7633,Thursday,December,50,17
263-10-3913,C,C1380,Naypyitaw,Normal,Male,Fashion accessories,49.04,11,26.972,539.44,2019-08-12,14:20:00,Credit card,441.36,4.761904762,98.08,9.03,96.0785,19.7633,Monday,August,33,14
381-20-0914,A,C1775,Yangon,Normal,Female,Fashion accessories,20.01,9,9.0045,180.09,2019-12-05,15:48:00,Credit card,171.5142857142857,4.761904762,8.575714285714286,5.7,96.1735,16.8409,Thursday,December,49,15
829-49-1914,C,C1470,Naypyitaw,Normal,Female,Food and beverages,78.31,12,44.74857142857143,939.72,2019-06-28,16:24:00,Ewallet,783.1,4.761904762,156.62,6.93,96.0785,19.7633,Friday,June,26,16
756-01-7507,C,C1434,Naypyitaw,Normal,Female,Health and beauty,20.38,6,5.822857142857143,122.28,2019-11-10,18:56:00,Cash,101.9,4.761904762,20.38,6.3,96.0785,19.7633,Sunday,November,45,18
870-72-4431,C,C1484,Naypyitaw,Normal,Female,Health and beauty,99.19,7,33.06333333333333,694.33,2019-03-13,14:42:00,Credit card,595.14,4.761904762,99.19,5.775,96.0785,19.7633,Wednesday,March,11,14
847-38-7188,B,C1285,Mandalay,Normal,Female,Food and beverages,96.68,4,18.415238095238095,386.72,2019-10-28,19:56:00,Ewallet,290.04,4.761904762,96.68,7.68,96.0891,21.9588,Monday,October,44,19
480-63-2856,C,C1471,Naypyitaw,Normal,Male,Food and beverages,19.25,10,9.166666666666666,192.5,2019-05-27,18:37:00,Ewallet,154.0,4.761904762,38.5,6.93,96.0785,19.7633,Monday,May,22,18
787-56-0757,C,C1419,Naypyitaw,Normal,Female,Health and beauty,80.36,5,19.133333333333333,401.8,2019-05-10,18:45:00,Credit card,321.44,4.761904762,80.36,8.715,96.0785,19.7633,Friday,May,19,18
360-39-5055,C,C1345,Naypyitaw,Normal,Male,Health and beauty,48.91,6,13.974285714285713,293.46,2019-06-28,10:17:00,Cash,244.55,4.761904762,48.91,6.93,96.0785,19.7633,Friday,June,26,10
730-50-9884,C,C1440,Naypyitaw,Normal,Female,Health and beauty,83.06,8,31.64190476190476,664.48,2019-05-22,14:31:00,Ewallet,581.42,4.761904762,83.06,4.2,96.0785,19.7633,Wednesday,May,21,14
362-58-8315,C,C1313,Naypyitaw,Normal,Male,Health and beauty,76.52,6,21.86285714285714,459.12,2019-03-11,10:23:00,Cash,382.6,4.761904762,76.52,10.0,96.0785,19.7633,Monday,March,11,10
633-44-8566,A,C1785,Yangon,Member,Male,Health and beauty,49.38,10,23.514285714285716,493.8,2019-12-03,20:35:00,Credit card,345.66,4.761904762,148.14,7.3,96.1735,16.8409,Tuesday,December,49,20
504-35-8843,A,C1815,Yangon,Normal,Male,Health and beauty,42.47,1,2.0223809523809524,42.47,2019-08-31,16:57:00,Cash,40.44761904761905,4.761904762,2.0223809523809524,5.7,96.1735,16.8409,Saturday,August,35,16
318-68-5053,B,C1299,Mandalay,Normal,Female,Health and beauty,76.99,8,29.32952380952381,615.92,2019-04-24,17:55:00,Cash,461.94,4.761904762,153.98,7.32,96.0891,21.9588,Wednesday,April,17,17
565-80-5980,C,C1407,Naypyitaw,Member,Female,Home and lifestyle,47.38,7,15.793333333333335,331.66,2019-02-02,10:25:00,Cash,189.52,4.761904762,142.14,7.455,96.0785,19.7633,Saturday,February,5,10
225-32-0908,C,C1362,Naypyitaw,Normal,Female,Sports and travel,44.86,12,25.634285714285717,538.32,2019-12-15,19:54:00,Ewallet,448.6,4.761904762,89.72,8.61,96.0785,19.7633,Sunday,December,50,19
873-51-0671,A,C1898,Yangon,Member,Female,Sports and travel,21.98,10,10.466666666666667,219.8,2019-04-19,16:42:00,Ewallet,153.86,4.761904762,65.94,5.1,96.1735,16.8409,Friday,April,16,16
152-08-9985,B,C1232,Mandalay,Member,Male,Health and beauty,64.36,18,55.16571428571428,1158.48,2019-10-02,12:09:00,Credit card,579.24,4.761904762,579.24,10.0,96.0891,21.9588,Wednesday,October,40,12
512-91-0811,C,C1303,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.273809523809524,89.75,2019-02-02,20:05:00,Credit card,85.47619047619048,4.761904762,4.273809523809524,6.93,96.0785,19.7633,Saturday,February,5,20
594-34-4444,A,C1787,Yangon,Normal,Male,Electronic accessories,97.16,1,4.626666666666666,97.16,2019-06-04,20:38:00,Ewallet,92.53333333333333,4.761904762,4.626666666666666,7.2,96.1735,16.8409,Tuesday,June,23,20
766-85-7061,B,C1205,Mandalay,Normal,Male,Health and beauty,87.87,14,58.580000000000005,1230.18,2019-05-02,10:25:00,Ewallet,878.7,4.761904762,351.48,6.12,96.0891,21.9588,Thursday,May,18,10
871-39-9221,C,C1398,Naypyitaw,Normal,Female,Electronic accessories,12.45,7,4.15,87.15,2019-04-02,13:11:00,Cash,74.7,4.761904762,12.45,4.305,96.0785,19.7633,Tuesday,April,14,13
865-92-6136,A,C1623,Yangon,Normal,Male,Food and beverages,52.75,3,7.535714285714286,158.25,2019-03-11,10:16:00,Ewallet,150.71428571428572,4.761904762,7.535714285714286,9.3,96.1735,16.8409,Monday,March,11,10
733-01-9107,B,C1259,Mandalay,Normal,Male,Home and lifestyle,82.7,8,31.504761904761907,661.6,2019-06-20,18:14:00,Cash,496.2,4.761904762,165.4,8.88,96.0891,21.9588,Thursday,June,25,18
163-56-7055,C,C1353,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.3195238095238095,48.71,2019-11-06,19:20:00,Cash,46.39047619047619,4.761904762,2.3195238095238095,4.305,96.0785,19.7633,Wednesday,November,45,19
189-98-2939,C,C1310,Naypyitaw,Normal,Male,Fashion accessories,78.55,11,43.2025,864.05,2019-12-13,13:22:00,Cash,706.95,4.761904762,157.1,7.56,96.0785,19.7633,Friday,December,50,13
551-21-3069,C,C1412,Naypyitaw,Normal,Female,Electronic accessories,23.07,11,12.6885,253.77,2019-07-19,11:27:00,Cash,207.63,4.761904762,46.14,5.145,96.0785,19.7633,Friday,July,29,11
212-62-1842,A,C1698,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,349.56,2019-05-23,16:44:00,Cash,332.9142857142857,4.761904762,16.645714285714284,9.9,96.1735,16.8409,Thursday,May,21,16
716-39-1409,B,C1262,Mandalay,Normal,Male,Health and beauty,30.35,10,15.175,303.5,2019-04-20,18:19:00,Cash,212.45,4.761904762,91.05,9.6,96.0891,21.9588,Saturday,April,16,18
704-48-3927,A,C1633,Yangon,Member,Male,Electronic accessories,88.67,14,62.069,1241.38,2019-12-19,14:50:00,Ewallet,886.7,4.761904762,354.68,7.3,96.1735,16.8409,Thursday,December,51,14
628-34-3388,C,C1401,Naypyitaw,Normal,Female,Fashion accessories,27.38,7,9.583,191.66,2019-12-10,20:54:00,Credit card,164.28,4.761904762,27.38,8.295,96.0785,19.7633,Tuesday,December,50,20
630-74-5166,A,C1822,Yangon,Normal,Female,Sports and travel,62.13,6,18.639,372.78,2019-12-30,20:19:00,Cash,355.0285714285714,4.761904762,17.75142857142857,7.4,96.1735,16.8409,Monday,December,1,20
588-01-7461,C,C1333,Naypyitaw,Normal,Female,Food and beverages,33.98,11,18.689,373.78,2019-03-27,10:43:00,Cash,305.82,4.761904762,67.96,4.41,96.0785,19.7633,Wednesday,March,13,10
861-77-0145,C,C1498,Naypyitaw,Member,Female,Electronic accessories,81.97,17,69.6745,1393.49,2019-02-16,14:30:00,Cash,819.7,4.761904762,573.79,7.455,96.0785,19.7633,Saturday,February,7,14
479-26-8945,B,C1270,Mandalay,Member,Female,Sports and travel,16.49,4,3.298,65.96,2019-09-15,11:32:00,Ewallet,32.98,4.761904762,32.98,7.455,96.0891,21.9588,Sunday,September,37,11
210-67-5886,C,C1334,Naypyitaw,Member,Female,Health and beauty,98.21,6,29.463,589.26,2019-10-25,10:41:00,Credit card,294.63,4.761904762,294.63,7.455,96.0785,19.7633,Friday,October,43,10
227-78-1148,B,C1220,Mandalay,Normal,Female,Fashion accessories,72.84,10,36.42,728.4,2019-07-16,12:44:00,Cash,509.88,4.761904762,218.52,7.455,96.0891,21.9588,Tuesday,July,29,12
645-44-1170,A,C1640,Yangon,Member,Male,Home and lifestyle,58.07,13,37.7455,754.91,2019-10-27,20:07:00,Ewallet,522.63,4.761904762,232.28,7.455,96.1735,16.8409,Sunday,October,43,20
237-01-6122,C,C1395,Naypyitaw,Member,Female,Home and lifestyle,80.79,15,60.5925,1211.85,2019-09-01,20:31:00,Credit card,727.11,4.761904762,484.74,7.455,96.0785,19.7633,Sunday,September,35,20
225-98-1496,C,C1350,Naypyitaw,Normal,Female,Health and beauty,27.02,4,5.404,108.08,2019-08-11,13:01:00,Credit card,81.06,4.761904762,27.02,7.455,96.0785,19.7633,Sunday,August,32,13
291-32-1427,B,C1223,Mandalay,Member,Male,Health and beauty,21.94,10,10.97,219.4,2019-12-03,12:29:00,Ewallet,109.7,4.761904762,109.7,7.455,96.0891,21.9588,Tuesday,December,49,12
659-65-8956,B,C1279,Mandalay,Member,Male,Health and beauty,51.36,1,2.568,51.36,2019-02-22,15:26:00,Ewallet,48.91428571428571,4.761904762,2.4457142857142857,7.455,96.0891,21.9588,Friday,February,8,15
642-32-2990,A,C1619,Yangon,Normal,Female,Health and beauty,10.96,10,5.48,109.6,2019-07-12,20:48:00,Ewallet,104.38095238095238,4.761904762,5.219047619047619,7.455,96.1735,16.8409,Friday,July,28,20
378-24-2715,B,C1262,Mandalay,Normal,Male,Home and lifestyle,53.44,3,8.016,160.32,2019-04-27,20:38:00,Ewallet,106.88,4.761904762,53.44,7.455,96.0891,21.9588,Saturday,April,17,20
638-60-7125,A,C1706,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,796.48,2019-04-02,17:03:00,Credit card,758.552380952381,4.761904762,37.92761904761905,7.455,96.1735,16.8409,Tuesday,April,14,17
659-36-1684,C,C1453,Naypyitaw,Normal,Male,Sports and travel,57.12,8,22.848,456.96,2019-12-24,12:02:00,Credit card,399.84,4.761904762,57.12,7.455,96.0785,19.7633,Tuesday,December,52,12
219-22-9386,B,C1242,Mandalay,Normal,Male,Sports and travel,99.96,13,64.974,1299.48,2019-09-10,17:26:00,Credit card,899.64,4.761904762,399.84,7.455,96.0891,21.9588,Tuesday,September,37,17
336-78-2147,C,C1417,Naypyitaw,Normal,Male,Home and lifestyle,63.91,10,31.955,639.1,2019-09-16,19:52:00,Credit card,511.28,4.761904762,127.82,7.455,96.0785,19.7633,Monday,September,38,19
268-27-6179,B,C1264,Mandalay,Normal,Female,Fashion accessories,56.47,11,29.57952380952381,621.17,2019-06-11,14:57:00,Ewallet,451.76,4.761904762,169.41,7.455,96.0891,21.9588,Tuesday,June,24,14
668-90-8900,A,C1846,Yangon,Normal,Female,Home and lifestyle,93.69,7,31.23,655.83,2019-03-25,18:44:00,Credit card,624.6,4.761904762,31.23,7.455,96.1735,16.8409,Monday,March,13,18
